NEODEN,YY1,P&P FILE,,,,,,,,,,,
,,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,
,,,,,,,,,,,,,
Fiducial,1-X,110.18,1-Y,201.60,OverallOffsetX,0,OverallOffsetY,0,
,,,,,,,,,,,,,
NozzleChange,ON,BeforeComponent,75,Head2,Drop,Station1,PickUp,Station2,
NozzleChange,ON,BeforeComponent,76,Head2,Drop,Station2,PickUp,Station3,
NozzleChange,OFF,BeforeComponent,1,Head2,Drop,Station3,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
,,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm) ,Rotation,Head ,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
C11,100n,CN065-0805,38.00,60.75,0.00,2,13,100,0.0,1.3,3,0
C16,100n,CN065-0805,12.75,77.00,0.00,1,13,100,0.0,1.3,3,0
C17,100n,CN065-0805,22.75,70.50,90.00,2,13,100,0.0,1.3,3,0
C18,100n,CN065-0805,22.25,43.75,90.00,1,13,100,0.0,1.3,3,0
C2,100n,CN065-0805,11.00,39.00,90.00,2,13,100,0.0,1.3,3,0
C20,100n,CN065-0805,16.25,71.75,90.00,1,13,100,0.0,1.3,3,0
C21,100n,CN065-0805,29.50,69.00,0.00,2,13,100,0.0,1.3,3,0
C3,100n,CN065-0805,22.25,48.00,90.00,1,13,100,0.0,1.3,3,0
C4,100n,CN065-0805,5.00,34.50,0.00,2,13,100,0.0,1.3,3,0
C5,100n,CN065-0805,20.25,35.00,90.00,1,13,100,0.0,1.3,3,0
C6,100n,CN065-0805,29.75,47.75,0.00,2,13,100,0.0,1.3,3,0
C7,100n,CN065-0805,22.25,39.50,90.00,1,13,100,0.0,1.3,3,0
C10,1u,CN065-0805,25.50,39.50,90.00,2,11,100,0.0,1.5,3,0
C12,1u,CN065-0805,16.25,51.00,90.00,1,11,100,0.0,1.5,3,0
C13,1u,CN065-0805,16.25,67.50,90.00,2,11,100,0.0,1.5,3,0
C14,1u,CN065-0805,25.50,43.75,90.00,1,11,100,0.0,1.5,3,0
C15,1u,CN065-0805,7.00,59.75,90.00,2,11,100,0.0,1.5,3,0
C19,1u,CN065-0805,16.25,55.25,90.00,1,11,100,0.0,1.5,3,0
D1,1N4148,CN065-0805,9.75,10.75,90.00,2,23,100,0.0,1.0,3,0
D2,1N4148,CN065-0805,11.50,2.75,0.00,1,23,100,0.0,1.0,3,0
D3,1N4148,CN065-0805,9.00,16.00,-135.00,2,23,100,0.0,1.0,3,0
D6,1N4148,CN065-0805,24.00,26.00,90.00,1,23,100,0.0,1.0,3,0
D7,1N4148,CN065-0805,11.50,6.25,0.00,2,23,100,0.0,1.0,3,0
Q10,NMOS,CN065-0805,8.25,55.25,-90.00,1,8,100,0.0,0.8,3,0
Q12,NMOS,CN065-0805,7.75,73.50,-90.00,2,8,100,0.0,0.8,3,0
Q2,NMOS,CN065-0805,7.75,39.00,0.00,1,8,100,0.0,0.8,3,0
Q6,NMOS,CN065-0805,29.75,40.50,90.00,2,8,100,0.0,0.8,3,0
Q11,PMOS,CN065-0805,12.75,73.50,-90.00,1,12,100,0.0,1.0,3,0
Q7,PMOS,CN065-0805,12.50,50.50,-90.00,2,12,100,0.0,1.0,3,0
Q8,PMOS,CN065-0805,12.75,69.25,-90.00,1,12,100,0.0,1.0,3,0
Q9,PMOS,CN065-0805,12.50,55.25,-90.00,2,12,100,0.0,1.0,3,0
D5,Zener,CN065-SOD,27.00,26.00,-90.00,1,48,100,0.0,1.0,3,0
C8,DNP,CN065-0805,8.50,47.00,0.00,1,1,100,0.0,0.0,3,1
C9,DNP,CN065-0805,12.50,65.75,0.00,1,1,100,0.0,0.0,3,1
R14,DNP,CN065-0805,29.75,44.50,0.00,1,1,100,0.0,0.0,3,1
R2,DNP,CN065-0805,13.50,39.00,0.00,1,1,100,0.0,0.0,3,1
R44,DNP,CN065-0805,16.25,25.50,0.00,1,1,100,0.0,0.0,3,1
D4,HVDIODE,CN220-D_SM,19.25,16.50,-90.00,2,22,70,0.0,2.2,4,0
U1,BTS5030,CN140-8SOIC,31.25,20.25,-90.00,2,19,70,0.0,1.7,4,0
